Drug Name,BW,C,W,P,AR,PPI-MG,Month
"Exforge HCT (amlodipine, valsartan, hydrochlorothiazide) tablets",,,,,,,12/1/2011
"Exforge HCT (amlodipine/valsartan/hydrochlorothiazide) 5/160/12.5 mg, 10/160/12.5 mg, 5/160/25 mg, 10/160/25 mg, and 10/320/25 mg Tablets

* RAS Dual Blockade",,,,X,,,9/1/2014
Exforge HCT (amlodipine/valsartan/hydrochlorothiazide) Tablets,,,,,,,3/1/2014
Exforge HCT (amlodipine/valsartan/hydrochlorothiazide) Tablets,,,,,,,9/1/2012
Exforge HCT (amlodipine/valsartan/hydrochlorothiazide) Tablets,,,,,,,10/1/2011
Exjade (deferasirox) Tablets,,,,,,,5/1/2013
Exjade (deferasirox) Tablets,,,,,,,9/1/2012
Exjade (deferasirox) Tablets for Oral Suspension,,,,,,,8/1/2011
Exjade (deferasirox) tablets for oral suspension,,,,,,,1/1/2010
"Exjade (deferasirox) tablets, for oral suspension",,,,,,,10/1/2013
Exparel (bupivacaine liposome injectable suspension),,,,X,,,12/1/2014
"Extavia (interferon beta-1b) for injection, for subcutaneous use",,,X,X,X,"PCI, MG",12/1/2014
Eylea (aflibercept) Injection,,,X,X,,,10/1/2014
Eylea (aflibercept) Injection,,,,,,,6/1/2013
Factive (gemifloxacin mesylate) Tablets,,,,,,,10/1/2011
Famvir (famciclovir) Tablets,,,,,,,1/1/2011
Famvir (famciclovir) tablets,,,,,,,12/1/2009
"Fanapt (iloperidone) 1 mg, 2 mg, 4 mg, 6 mg, 8 mg, 10 mg, and 12 mg tablets",,,,,,,1/1/2013
"Fanapt (iloperidone) 1, 2, 4, 6, 8, 10, and 12 mg tablets",,,,,,,4/1/2014
Fanapt (iloperidone) Tablets,,,,,,,1/1/2012
Fareston (toremifene citrate) tablets,,,,,,,3/1/2011
"Farxiga (dapagliflozin) tablets, 5 mg and 10 mg",,,,,,,8/1/2014
Faslodex (fulvestrant) Injection,,,,,,,7/1/2012
Fazaclo (clozapine) Orally Disintegrating Tablets,,,,,,,1/1/2012
Fazaclo (clozapine) orally disintegrating tablets,,,,,,,9/1/2010
Feldene (piroxicam) Capsules,,,,X,X,,2/1/2015
Femara (letrozole) 2.5 mg tablets,,,,,,,3/1/2010
Femara (letrozole) 2.5 mg tablets,,,,,,,7/1/2009
Femring (estradiol acetate vaginal ring),,,,,,,5/1/2009
Fentora (fentanyl buccal tablets),,,,,,,7/1/2011
Feraheme (ferumoxytol) Injection,X,X,X,X,X,PCI,3/1/2015
Feraheme (ferumoxytol) injection,,,,,,,6/1/2011
Feraheme (ferumoxytol) Injection,,,,,,,11/1/2010
Ferriprox (deferiprone) Tablets,,,,X,,,2/1/2015
"FeverAll (acetaminophen) 80 mg, 120 mg, 325 mg, and 650 mg Suppositories",,,,,,,1/1/2014
FeverAll (acetaminophen) rectal suppositories,,,,,,,4/1/2010
Fibricor (fenofibric acid) Tablets,,,,,,,1/1/2012
Finacea (azelaic acid) gel,,,,,,,10/1/2010
"Fioricet with Codeine (butalbital, acetaminophen, caffeine, and codeine phosphate) Capsules",,,,,,,10/1/2013
"Fioricet with Codeine (butalbital, acetaminophen, caffeine, and codeine phosphate) Capsules",,,,,,,6/1/2011
Firmagon (degarelix for injection),,,,,,,3/1/2013
Firmagon (degarelix for injection) Lyophilized Powder for Injection,,,X,X,,,2/1/2015
Flagyl (metronidazole) 500 mg I.V. injection RTU (in plastic container),,,,,,,8/1/2009
"Flagyl (metronidazole) tablets, capsules, and Flagyl ER tablets",,,,,,,8/1/2010
Flector Patch (diclofenac epolamine topical patch),,,,,,,2/1/2011
Flector Patch (diclofenac epolamine) 1.3% topical patch,,,,,,,9/1/2009
Flolan (epoprostenol sodium) injection,,,,,,,3/1/2011
Flomax (tamsulosin hydrochloride) capsule,,,,,,,10/1/2009
Flomax (tamsulosin hydrochloride) Capsules,,,,,,,7/1/2014
Flomax (tamsulosin hydrochloride) Capsules,,,,,X,PCI,10/1/2014
Flomax (tamsulosin hydrochloride) Capsules,,,,,,,7/1/2011
Flomax (tamsulosin hydrochloride) capsules,,,,,,,12/1/2009
Flovent Diskus (fluticasone propionate inhalation powder),,,,,X,,11/1/2014
Flovent HFA (fluticasone propionate) Inhalation Aerosol,,,,,,,7/1/2011
Flovent HFA Inhalation Aerosol,,,,,X,,11/1/2014
Flucelvax (Influenza Vaccine),,,X,X,X,,4/1/2015
Flumadine (rimantadine hydrochloride) tablets,,,,,,,4/1/2010
Fluvirin (influenza Vaccine),,,X,X,X,,5/1/2015
"Focalin (dexmethylphenidate HCl) Tablets

*rhabdomyolysis",,,,,X,,4/1/2015
"Focalin XR (dexmethylphenidate HCl) Extended-release Tablets

*rhabdomyolysis",,,,,X,,4/1/2015
Folotyn (pralatrexate injection),,,,,,,5/1/2012
Folotyn (pralatrexate) injection,,,,,,,4/1/2010
Foradil Aerolizer (formoterol fumarate inhalation powder),,,,,,,5/1/2011
Foradil Aerolizer (formoterol fumarate inhalation powder) 12 mcg,,,,,,,9/1/2012
Foradil Aerolizer (formoterol fumarate inhalation powder) and Foradil Certihaler (formoterol fumarate inhalation powder),,,,,,,6/1/2010
Forane (isoflurane) liquid for inhalation,,,,,,,2/1/2010
Fortesta (testosterone gel),,,,,,,9/1/2013
"Fortesta (testosterone) Gel

* risk of adverse cardiovascular events",,,X,X,X,,5/1/2015
Fortical (calcitonin-salmon [rDNA origin]) Nasal Spray for Intranasal Use,,,,,,,7/1/2014
Fosamax (alendronate sodium) tablets and oral solution,,,,,,,3/1/2010
"Fosamax (alendronate sodium) Tablets and Oral Solution

*risk of osteonecrosis of the jaw (ONJ) with the concomitant use of bisphosphonates and angiogenesis inhibitors",,,X,X,,,4/1/2015
Fosamax Plus D (Alendronate Sodium/Cholecalciferol) Tablets,,,,,,,11/1/2013
Fosamax Plus D (alendronate sodium/cholecalciferol) tablets,,,,,,,3/1/2010
"Fosamax Plus D (alendronate sodium/cholecalciferol) Tablets

*risk of osteonecrosis of the jaw (ONJ) with the concomitant use of bisphosphonates and angiogenesis inhibitors",,,X,X,,,4/1/2015
Foscavir (foscarnet sodium) Injection,,,,X,X,,11/1/2014
"Fosrenol (lanthanum carbonate) 500 mg, 750 mg, and 1000 mg Chewable Tablets",,,,,,,9/1/2011
Fosrenol (lanthanum carbonate) Chewable Tablets,,,,,,,4/1/2011
"Fosrenol (lanthanum carbonate) chewable tablets 500 mg, 750 mg and 1000 mg",,,,X,,,9/1/2014
Fragmin (dalteparin sodium) injection,,,,,,,10/1/2010
Fragmin (dalteparin sodium) injection,,,,,,,12/1/2009
Fragmin (dalteparin) Injection,X,,X,X,,,1/1/2015
Furadantin (nitrofurantoin) Oral Suspension,,,,,X,,11/1/2014
Furadantin (Nitrofurantoin) Oral Suspension,,,,,,,11/1/2013
Gablofen (baclofen) Injection,,,X,X,,,2/1/2015
Gadavist (Gadobutrol) Injection,,,,,,,10/1/2013
Gallium Citrate Ga 67 Injection,,,,,,,10/1/2011
"Gardasil (Human Papillomavirus Quadrivalent Types 6, 11, 16, 18) Recombinant Vaccine",,,,,,,7/1/2009
Gattex (teduglutide [rDNA origin]) for subcutaneous injection,,,,,,,6/1/2014
Gazyva (obinutuzumab) Injection,,,,,,,6/1/2014
"Gazyva (obinutuzumab) Injection, for Intravenous Infusion",,,X,X,,,12/1/2014
Gelnique (oxybutynin chloride) 10% gel,,,,,,,1/1/2011
"Gelnique (oxybutynin chloride), 3 percent gel",,,,,,,1/1/2013
Gemcitabine Injection 38 mg/mL,,,,,,,9/1/2013
"Gemzar (Gemcitabine for injection), 1g and 1 200 mg",,,,,,,5/1/2013
Gemzar (gemcitabine) for injection,,,,,,,5/1/2014
Genotropin (somatropin [rDNA origin] for Injection,,,,,,,5/1/2011
Genotropin (somatropin [rDNA origin] for injection,,,,,,,2/1/2010
Genotropin (somatropin [rDNA origin] for injection),,,X,X,,,9/1/2014
Geodon (ziprasidone HCl) capsules,,,X,X,X,PCI,12/1/2014
"Geodon (ziprasidone HCl) Capsules and Oral Suspension 
Geodon (ziprasidone mesylate) Injection",,,,,,,3/1/2013
"Geodon (ziprasidone) Capsules, Injection and Oral Suspension",,,,,,,7/1/2013
Gilenya (fingolimod),,,,,,,4/1/2014
Gilenya (Fingolimod),,,,,,,5/1/2012
Gilenya (fingolimod) Capsules,,,X,X,,,5/1/2015
Gilenya (fingolimod) capsules 0.5 mg,,,,,,,7/1/2011
Gleevec (imatinib mesylate) tablets,,,,,,,5/1/2014
Gleevec (imatinib mesylate) Tablets,,,,,,,10/1/2013
Gleevec (imatinib mesylate) Tablets,,,,,,,4/1/2011
Gleevec (imatinib) Tablets,,,X,X,,,1/1/2015
Glucotrol (glipizide) tablets,,,,,,,10/1/2013
Glucotrol XL (glipizide) Extended Release tablets,,,,,,,10/1/2013
Glucovance (Glyburide and Metformin HCl) tablets,,,,,,,10/1/2013
Glucovance (glyburide and metformin HCl) Tablets,,,,,,,11/1/2010
Glucovance (glyburide and metformin HCl) tablets,,,,,,,11/1/2009
Glynase PresTab (micronized glyburide) Tablets,,,,X,,,5/1/2015
Glynase PresTab (micronized glyburide) tablets,,,,,,,10/1/2013
"Glyset (miglitol) Tablets, 25 mg, 50 mg and 100 mg",,,,,,,9/1/2012
"Golytely (PEG 3350 and electrolytes) for Oral Solution, 1 Gallon and 4 Liter",,,,,,,9/1/2013
Gralise (Gabapentin) Tablets,,,,,,,8/1/2012
"Gralise (gabapentin) Tablets, 300 mg and 600 mg",,,,,,,1/1/2012
Halaven (eribulin mesylate) Injection For intravenous administration,,,,,,,8/1/2014
"Halcion (triazolam) tablets, 0.25 mg",,X,X,X,,,9/1/2014
Haldol (haloperidol) Injection and Haldol Decanoate IM Injection,,,,,,,8/1/2011
Harvoni (ledipasvir/sofosbuvir) Fixed-dose Combination Tablet,,,X,X,X,,3/1/2015
Hemabate (carboprost tromethamine) Sterile Solution Injection,,,,,,,12/1/2013
Heparin Sodium in 0.9 percent Sodium Chloride Injection in Excel,,,,,,,1/1/2013
Heparin Sodium in 5 percent Dextrose Injection in Excel,,,,,,,1/1/2013
Heparin Sodium in the 5% Dextrose injection and in the 0.9% Sodium Chloride injection,,,,,,,8/1/2010
Heparin Sodium Injection,,,,,,,2/1/2011
Heparin Sodium injection,,,,,,,6/1/2010
Hepsera (adefovir dipivoxil) 10 mg tablets,,,,,,,10/1/2009
Hepsera (adefovir dipivoxil) tablets,,,,,,,2/1/2012
Hepsera (adefovir dipivoxil) Tablets,,,,,,,11/1/2012
Herceptin (trastuzumab),,,X,X,,,4/1/2015
Herceptin (trastuzumab),,,,,,,3/1/2014
Herceptin (trastuzumab) Intravenous Infusion,,,,,,,6/1/2014
Hibiclens (4% w/v chlorhexidine gluconate) solution,,,,,,,5/1/2012
Hibistat (0.5% chlorhexidine gluconate solution and 70% isopropyl alcohol w/w),,,,,,,5/1/2012
Humalog (insulin lispro [rDNA origin]) Injection,,,,,,,5/1/2011
"Humalog (insulin lispro [rDNA origin]) injection

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
"Humalog Mix 50/50 (50% insulin lispro protamine suspension /50% insulin lispro [rDNA origin]) injection

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
Humalog Mix 50/50 (50% insulin lispro protamine suspension/50% insulin lispro [rDNA origin] injection),,,,,,,3/1/2013
"Humalog Mix 75/25 (75% insulin lispro protamine suspension /25% insulin lispro [rDNA origin]) injection

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
Humalog Mix 75/25 (75% insulin lispro protamine suspension/25% insulin lispro [rDNA origin] injection),,,,,,,3/1/2013
Humatrope (somatropin [rDNA origin] for injection),,,,,,,7/1/2014
Humatrope (somatropin [rDNA origin]) for injection,,,,,,,2/1/2011
Humatrope (somatropin [rDNA origin]) for injection,,,,,,,7/1/2010
Humira (adalimumab),,,,,,,5/1/2014
Humira (adalimumab),,,,,,,5/1/2014
Humira (adalimumab),,,,,,,5/1/2013
Humira (adalimumab),,,,,,,5/1/2012
"Humulin 70/30 (70% human insulin isophane suspension/30% insulin human injection, rDNA origin)

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
"Humulin N NPH (human insulin isophane suspension [rNDA origin])

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
"Humulin R (insulin human [rDNA origin] injection), U-500",,,,,,,3/1/2011
"Humulin R (insulin human injection, USP [rDNA origin])

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
Hycamtin (topotecan hydrochloride) capsules,,,,,,,6/1/2010
Hycamtin (topotecan hydrochloride) injection,,,,,,,3/1/2010
Hycamtin (topotecan) capsules,,,,,,,6/1/2014
Hycamtin (topotecan) Capsules,,,,,,,10/1/2011
"Hytrin (terazosin hydrochloride) 1, 2, 5, and 10 mg tablets",,,,,,,7/1/2009
"Hyzaar (losartan potassium hydrochlorothiazide) 50-12.5 mg, 100-12.5 mg, and 100-25 mg Tablets",,,,,,,6/1/2009
Hyzaar (losartan potassium/HCTZ) Tablets,,,,,,,3/1/2013
"Hyzaar (losartan potassium/hydrochlorothiazide) 50/12.5 mg, 100/12.5 mg, and 100/25 mg Tablets",,,X,X,,,9/1/2014
"Hyzaar (losartan/hydrochlorothiazide) 50/12.5 mg, 100/12.5 mg, and 100/25 mg Tablets",,,,,,,1/1/2014
Hyzaar (losartan/hydrochlorothiazide) and Hyzaar (losartan potassium/HCTZ) Tablets,,,,,,,8/1/2011
Hyzaar (losartan/hydrochlorothiazide) Tablets,,,,,,,11/1/2011
Iclusig (ponatinib) tablets,,,,,,,12/1/2013
"Idamycin (idarubicin hydrochloride for injection, USP) 

Idamycin PFS",,,X,,,,12/1/2014
Ifex (ifosfamide) for Injection,,,,,,,8/1/2014
Ilaris (canakinumab),,,X,X,,,10/1/2014
Imbruvica (ibrutinib) Capsules,,,X,X,,,1/1/2015
"Imitrex (sumatriptan) injection, nasal spray and tablets",,,,,,,7/1/2010
Imitrex (sumatriptan) Nasal Spray and Tablets,,,,,,,3/1/2012
Imitrex (sumatriptan) tablets,,,,,,,8/1/2010
"Immune Globulin Products (Human) intravenous, subcutaneous, and intramuscular",,,,,,,6/1/2013
"Implanon (etonogestrel implant), For Subdermal Use",,,,,,,7/1/2014
Implanon (etonogestrel)  implants,,,,,,,5/1/2014
Imuran (azathioprine) Tablets and Imuran (azathioprine) Injection,,,,,,,2/1/2014
Imuran (azathioprine) Tablets and Injection,,,,,,,5/1/2011
Incivek (telaprevir) Film-Coated Tablets,,,,,,,3/1/2012
Incivek (telaprevir) tablets,,,,,,,10/1/2013
Increlex (mecasermin [rDNA origin] injection,,,,,,,2/1/2011
Increlex (mecasermin [rDNA origin]) injection,,,,,,,6/1/2014
"Inderal (propranolol HCL) tablets
Inderal LA (propranolol hydrochloride) long acting capsules",,,,,,,3/1/2011
Inderide (propranolol HCl/hydrochlorothiazide) tablets,,,,,,,3/1/2010
Inderide (propranolol hydrochloride/hydrochlorothiazide) tablets,,,,,,,3/1/2011
Indocin I.V. (indomethacin) injection,,,,,,,1/1/2010
INFeD (iron dextran) 50 mg elemental iron/mL injection,,,,,,,8/1/2009
Inlyta (axitinib) tablets,,,,,,,9/1/2013
Inlyta (axitinib) tablets for oral administration,,,,,,,8/1/2014
Innohep (tinzaparin sodium) injection,,,,,,,12/1/2009
Innopran XL (propranolol hydrochloride) extended release capsules,,,,,,,12/1/2009
INOmax (nitric oxide) for Inhalation,,,,,,,3/1/2013
Inomax (nitric oxide) for Inhalation,,,,,,,8/1/2009
Inspra (eplerenone) 25 mg and 50 mg Tablets,,,,,,,5/1/2013
Integrilin (eptifibatide) injection,,,,,,,3/1/2011
"Intelence (etravirine) 1 200 mg, 100 mg, and 25 mg tablets",,,,,,,8/1/2014
Intelence (etravirine) 100 mg tablets,,,,,,,2/1/2010
Intelence (etravirine) tablet,,,,,,,12/1/2010
Intelence (etravirine) Tablets,,,,,,,10/1/2011
Intelence (etravirine) tablets,,,,,,,9/1/2009
"Intron A (interferon alfa-2b), Recombinant for Injection",,,X,X,X,,5/1/2015
Invanz (ertapenem) for Injection,,,,,,,3/1/2012
Invanz (ertapenem) for injection,,,,,,,5/1/2010
Invanz (ertapenem) for injection,,,,,,,10/1/2009
Invanz (ertapenem) injection,,,,,,,12/1/2009
"Invanz (ertapenem) Injection, 1 gm",,,,,X,,9/1/2014
"INVANZ (ertapenem) Injection, 1 gm",,,,,,,7/1/2013
Invega (paliperidone) ER tablets,,,,,,,10/1/2009
Invega (paliperidone) extended-release tablets,,,,,,,3/1/2010
"Invega (paliperidone) tablets, and Invega Sustenna (paliperidone) extended-release suspension for intramuscular injection",,,,,,,4/1/2014
Invega Sustenna (paliperidone palmitate) extended-release injectable suspension,,,,,,,6/1/2011
Invega Sustenna (paliperidone palmitate) extended-release injectable suspension,,,,,,,5/1/2010
Invirase (saquinavir mesylate) Capsules and Tablets,,,,,X,,4/1/2015
Invirase (saquinavir mesylate) capsules and tablets,,,,,,,1/1/2010
"Invirase (saquinavir mesylate) Capsules, Tablets

*HIV protease inhibitor drug-drug interactions",,,X,X,,,3/1/2015
Invokamet (canagliflozin and metformin HCl) Tablets,,,,,X,,3/1/2015
Invokana (canagliflozin) Tablets,,,,,X,,3/1/2015
Invokana (canagliflozin) tablets,,,,,,,5/1/2014
Isentress (raltegravir potassium) 400 mg tablets,,,,,,,11/1/2009
Isentress (raltegravir potassium) Tablets,,,,,,,2/1/2011
Isentress (raltegravir potassium) Tablets,,,,,,,4/1/2011
Isentress (raltegravir potassium) Tablets,,,,,,,11/1/2011
Isentress (raltegravir potassium) tablets,,,,,,,3/1/2010
Isentress (raltegravir potassium) tablets,,,,,,,7/1/2009
Isentress (raltegravir) film-coated tablets and chewable tablets,,,,,,,10/1/2013
"Isentress (raltegravir) film-coated tablets, 400 mg,
Isentress (raltegravir) chewable tablets, 25 mg, 100 mg 
Isentress (raltegravir) for oral suspension, 100 mg",,,,,,,4/1/2014
"Isentress (raltegravir) for Oral Suspension, Chewable Tablets, and Film-coated Tablets",,,,X,,,2/1/2015
"Isentress (raltegravir) scored, chewable tablets, film coated tablets",,,,,,,12/1/2011
"Isoptin SR (verapamil HCL) 120 mg, 180 mg, and 240 mg Sustained Release tablets",,,,,,,7/1/2009
Isoptin SR (verapamil HCL) sustained release tablets,,,,,,,3/1/2010
Isoptin SR (verapamil hydrochloride) tablets,,,,,,,12/1/2011
Isordil Titradose (isosorbide dinitrate) Tablets,,X,,X,,,1/1/2015
Istodax (romidepsin) for Injection,,,,,,,9/1/2011
Istodax (romidepsin) lyophilized powder,,,X,X,,,10/1/2014
Istodax (romidepsin) lyophilized powder,,,,,,,6/1/2013
Ixempra kit (ixabepilone) for injection,,,,,,,10/1/2011
Ixempra kit (ixabepilone) for intravenous infusion,,,,,,,5/1/2010
Ixempra kit (ixabepilone) for intravenous infusion,,,,,,,10/1/2009
Jakafi (ruxolitinib phosphate) Tablets,,,,,,,7/1/2014
Jakafi (Ruxolitinib) Tablets,,,,,,,11/1/2013
"Jakafi (ruxolitinib) tablets, for oral use",,,X,X,X,PCI,12/1/2014
Jalyn (dutasteride and tamsulosin) capsules,,,,,,,6/1/2011
Janumet (sitagliptin and metformin fixed-dose combination) Tablets,,,,,,,3/1/2012
Janumet (sitagliptin and metformin HCl) fixed-dose combination tablets,,,,,,,9/1/2010
Janumet (sitagliptin and metformin HCl) Tablets,,,,,X,,4/1/2015
"Janumet (sitagliptin and metformin HCl) tablets, 50 mg/ 500 mg and 50 mg/ 1000 mg",,,,,,,9/1/2013
Janumet XR (sitagliptin and metformin extended release) Tablets,,,,,X,,4/1/2015
Janumet XR (sitagliptin and metformin HCl Extended-Release) Tablets,,,,,,,2/1/2014
Januvia (sitagliptin) Tablets,,,,,X,,4/1/2015
Januvia (sitagliptin) Tablets,,,,,,,3/1/2012
Januvia (sitagliptin) Tablets,,,,,,,4/1/2011
Januvia (sitagliptin) tablets,,,,,,,9/1/2010
Jentadueto (linagliptin and metformin hydrochloride) tablets,,,,,,,5/1/2014
"Jentadueto (linagliptin and metformin hydrochloride) tablets, 2.5 mg/500 mg, 2.5 mg/850 mg, and 2.5 mg/1000 mg",,,,,,,9/1/2013
"Jetrea (ocriplasmin) Intravitreal Injection, 2.5 mg/mL",,,,,,,6/1/2014
Jevtana (cabazitaxel) Injection,,,,,,,3/1/2014
Juvisync (sitagliptin and simvastatin) Tablets,,,,,,,2/1/2014
"Juvisync (sitagliptin/simvastatin) Tablets, 100mg/10mg, 100 mg/20 mg, 100mg/40mg, 50mg/10mg, 50 mg/20 mg, and 50mg/40mg",,,,,,,9/1/2012
Juxtapid (lomitapide) Capsules,,,,,,,2/1/2014
"Juxtapid (lomitapide) capsules, for oral use",,,,,,,8/1/2014
"Kadcyla (ado-trastuzumab emtansine) for injection, for intravenous Use",,,,,,,7/1/2014
Kaletra (lopinavir/ritonavir) Capsules,,,,,,,2/1/2012
Kaletra (lopinavir/ritonavir) oral solution and tablets,,,,,,,1/1/2010
"Kaletra (lopinavir/ritonavir) Oral Solution, Tablets, Capsules

*HIV protease inhibitor drug-drug interactions",,,X,X,,,3/1/2015
Kaletra (lopinavir/ritonavir) Tablets and Oral Solution,,,,,,,2/1/2011
Kaletra (lopinavir/ritonavir) tablets and oral solution,,,,,,,6/1/2010
Kalydeco (ivacaftor) Tablets,,,,X,,,3/1/2015
Kalydeco (ivacaftor) Tablets,,,X,X,,PCI,12/1/2014
Kayexalate (sodium polystyrene sulfonate) powder,,,,,,,1/1/2011
Kayexalate (sodium polystyrene sulfonate) powder,,,,,,,9/1/2009
Kenalog (triamcinolone acetonide) injectable suspension,,,,,,,1/1/2010
"Kenalog-10 (triamcinolone acetonide) Injection 
Kenalog-40 (triamcinolone acetonide) Injection",,,,,,,7/1/2011
Kenalog-10 (triamcinolone acetonide) injection and Kenalog-40 (triamcinolone acetonide) injection,,,,,,,6/1/2011
Kepivance (palifermin),,,,,,,5/1/2009
Kepivance (palifermin) Injection,,,,X,,,3/1/2015
Keppra (levetiracetam) Injection,,,X,X,,,10/1/2014
Keppra (levetiracetam) injection for intravenous use,,,,,,,8/1/2014
Keppra (levetiracetam) Tablets and oral solution,,,,,,,12/1/2011
"Keppra (levetiracetam) Tablets, Extended Release Tablets, Oral Solution and Injection",,,,,,,3/1/2014
"Keppra (levetiracetam) tablets, for oral use
Keppra (levetiracetam) oral solution",,,,,,,8/1/2014
"Keppra (levetiracetam) Tablets, Oral Solution, Extended-release Tablets",,,X,X,X,,3/1/2015
"Keppra (levetiracetam) Tablets, XR tablets, Oral Solution, Injection",,,,,,,7/1/2013
"Keppra XR (levetiracetam) extended-release tablets, for oral use",,,,,,,8/1/2014
Kerledex (betaxolol hydrochloride and chlorthalidone),,,,,,,3/1/2011
Kerledex (betaxolol hydrochloride/chlorthalidone) Tablets,,,,,,,8/1/2011
Kerlone (betaxolol hydrochloride) 10 mg and 1 20 mg tablets,,,,,,,5/1/2009
Kerlone (betaxolol hydrochloride) Tablets,,,,,,,8/1/2011
Ketalar (ketamine HCl) for Injection,,,,,,,3/1/2012
Kineret (anakinra) for injection,,,,,,,10/1/2013
Klonopin (clonazepam) tablets and orally disintegrating tablets,,,,,,,9/1/2010
Kombiglyze XR (saxagliptin + metformin XR FDC) tablets,,,,,,,5/1/2013
Kombiglyze XR (saxagliptin/metformin hydrochloride extended-release) Tablets,,,,,,,3/1/2012
Kombiglyze XR (saxagliptin/metformin hydrochloride extended-release) Tablets,,,,,,,11/1/2011
Kuvan (sapropterin dihydrochloride),,,,,,,4/1/2014
Kynamro (mipomersen) Injection,,,,,X,,2/1/2015
Kyprolis (carfilzomib) for Injection,,,X,X,,,3/1/2015
"Kytril (granisetron hydrochloride) injection, tablets and oral solution",,,,,,,10/1/2009
Kytril (granisetron hydrochloride) Intravenous Injection,,,,,,,4/1/2011
"Lactated Ringer’s,",,,,,,,10/1/2011
"Lamictal (lamotrigine) Tablets
Lamictal (lamotrigine) Chewable Dispersible Tablets
Lamictal ODT (lamotrigine) Orally Disintegrating Tablets",X,,X,X,,,5/1/2015
"Lamictal (lamotrigine) tablets
Lamictal (lamotrigine) chewable dispersible tablets
Lamictal ODT (lamotrigine) orally disintegrating tablets
Lamictal XR (lamotrigine) extended-release tablets",,,,,,,6/1/2014
"Lamictal (lamotrigine) Tablets
Lamictal (lamotrigine) Chewable Dispersible Tablets
Lamictal ODT (lamotrigine) Orally Disintegrating Tablets
Lamictal XR Extended-Release Tablets",,,,X,,,12/1/2014
"Lamictal (lamotrigine) Tablets, Chewable Dispersible Tablets, Lamictal Orally Disintegrating Tablets, and Lamictal XR Extended-Release Tablets",,,,,,,8/1/2011
"Lamictal (lamotrigine) Tablets, Chewable Dispersible Tablets, Orally Disintegrating Tablets, and Lamictal XR (lamotrigine) Extended-Release Tablets",,,,,,,11/1/2011
"Lamictal (lamotrigine) Tablets, Chewable Dispersible Tablets, Orally Disintegrating Tablets, Extended-release Tablets",,,X,X,X,MG,3/1/2015
Lamisil (terbinafine hydrochloride) Tablets and Oral Granules,,,,,,,11/1/2011
Lanoxin (digoxin) pediatric injection and tablets,,,,,,,2/1/2010
Lantus (insulin glargine [rDNA origin] injection) solution,,,,,,,10/1/2013
"Lantus (insulin glargine [rDNA origin]) injection

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
Lariam (mefloquine hydrochloride) 250 mg tablets,,,,,,,8/1/2009
Lasix (furosemide) Tablets,,,,,,,3/1/2012
Lastacaft (alcaftadine ophthalmic solution),,X,X,X,X,PCI,12/1/2014
"Latisse (bimatoprost ophthalmic solution), 0.03 percent",,,X,X,X,PCI,9/1/2014
Latisse (bimatoprost) ophthalmic solution,,,,,,,9/1/2011
Letairis (ambrisentan) 5 and 10 mg Tablets,,,,,,,5/1/2009
Letairis (ambrisentan) 5 and 10 mg tablets,,,,,,,7/1/2009
Letairis (ambrisentan) 5 and 10 mg tablets,,,,,,,8/1/2009
Letairis (ambrisentan) 5 mg and 10 mg Tablets,,,,,,,1/1/2014
Letairis (ambrisentan) Tablets,,,,,,,2/1/2012
Letairis (ambrisentan) tablets,,,,,,,3/1/2011
Letairis (ambrisentan) tablets,,,,,,,10/1/2010
Leukeran (chlorambucil) Tablet,,,,,,,10/1/2011
Leukeran (chlorambucil) tablets,,,,,,,4/1/2010
Levaquin (levofloxacin) Tablets,,,,,,,10/1/2011
"Levaquin (levofloxacin) tablets, injection, and oral solution",,,,,,,5/1/2014
Levatol (penbutolol sulfate) Tablets,,,,,,,5/1/2011
"Levemir (insulin detemir [rDNA origin]) injection 

* risk for transmission of blood-borne pathogens",,,X,X,,,2/1/2015
"Levemir (insulin detemir [rDNA origin]), Injection",,,,,,,5/1/2012
Levitra (vardenafil hydrochloride) tablets,,,,,,,4/1/2014
Lexapro (escitalopram oxalate) tablets and oral solution,,,,,,,3/1/2011
Lexiscan (regadenoson) Injection,,,X,X,X,PCI,9/1/2014
Lexiscan (regadenoson) Injection,,,,,,,9/1/2011
Lexiscan (regadenoson) injection,,,,,,,9/1/2011
Lexiscan (regadenoson) injection,,,,,,,12/1/2009
Lexiva (fosamprenavir calcium) tablets and oral suspension,,,,,,,2/1/2012
Lexiva (fosamprenavir calcium) Tablets and Oral Suspension,,,,,,,5/1/2011
Lexiva (fosamprenavir calcium) tablets and oral suspension,,,,,,,9/1/2009
"Lexiva (fosamprenavir calcium) Tablets, Oral Suspension

*HIV protease inhibitor drug-drug interactions",,,X,X,,,3/1/2015
Lialda (mesalamine) delayed-release tablet,,,,,,,10/1/2009
Lialda (mesalamine) delayed-release tablets,,,,,X,,10/1/2014
Lialda (mesalamine) Delayed-Release Tablets,,,,,,,12/1/2013
